Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C_0805_2012Metric,5,0.1uF,C126469
C6,C_0805_2012Metric,1,10uF,C90544
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,12,1N4148W,C2892570
F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,TLC-PSMD010/24,C261938
"H1, H2, H3, H4, H5",MountingHole_2.5mm_Pad_Via,5,MountingHole_Pad,NULL
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
"R1, R10, R2, R7",R_0805_2012Metric,4,2k,C114748
"R11, R12, R13, R14, R15, R16, R5, R6",R_0805_2012Metric,8,10k,C115295
"R3, R4",R_0805_2012Metric,2,22,C409739
"R8, R9",R_0805_2012Metric,2,5.1k,C269748
"S1, S2",Rotary_Encoder_Switched_PEC11R,2,PEC11R-4215F-S0024,C143790
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_HS_1u,12,MX_SW_HS,NULL
SW13,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,RESET_BTN,C178262
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,C44854
U3,SSD1306_0.96_Oled,1,SSD1306,NULL
Y1,Resonator_SMD-3Pin_7.2x3.0mm_CSTNE16M0VH3C000R0,1,16MHZ,C882605
