Designator,Mid X,Mid Y,Rotation,Layer
C1,33.3375,-94.831896,90.0,bottom
C2,43.65625,-94.988146,0.0,bottom
C3,94.45625,-99.21875,0.0,top
C4,103.98125,-97.63125,180.0,bottom
C5,53.975,-74.6125,180.0,bottom
C6,78.703249,-75.022397,45.0,bottom
D1,42.8625,-119.85625,180.0,bottom
D10,99.21875,-119.85625,180.0,bottom
D11,100.0125,-138.90625,180.0,bottom
D12,100.80625,-157.95625,180.0,bottom
D2,42.8625,-138.90625,180.0,bottom
D3,42.8625,-157.95625,180.0,bottom
D4,61.9125,-119.85625,180.0,bottom
D5,61.9125,-138.90625,180.0,bottom
D6,61.9125,-157.95625,180.0,bottom
D7,80.9625,-119.85625,180.0,bottom
D8,80.9625,-138.90625,180.0,bottom
D9,80.9625,-157.95625,180.0,bottom
F1,82.55,-65.88125,0.0,bottom
J1,73.025,-54.506896,180.0,top
R1,71.586015,-94.839631,-135.0,bottom
R10,76.348515,-99.602131,-135.0,bottom
R11,53.975,-79.113146,-90.0,bottom
R12,53.975,-87.050646,-90.0,bottom
R13,89.69375,-81.75625,90.0,bottom
R14,89.69375,-76.31875,90.0,bottom
R15,108.74375,-77.644396,-90.0,bottom
R16,108.74375,-87.050646,-90.0,bottom
R2,73.173515,-96.427131,-135.0,bottom
R3,71.4375,-62.444396,-90.0,top
R4,73.81875,-65.88125,0.0,top
R5,33.3375,-87.963146,90.0,bottom
R6,33.3375,-79.113146,90.0,bottom
R7,74.761015,-98.014631,-135.0,bottom
R8,76.2,-63.5,0.0,top
R9,57.15,-61.650646,180.0,top
S1,37.95625,-83.8875,0.0,top
S2,93.51875,-83.8875,0.0,top
SW1,42.8625,-111.91875,180.0,bottom
SW10,100.0125,-111.91875,180.0,bottom
SW11,100.0125,-130.96875,180.0,bottom
SW12,100.0125,-150.01875,180.0,bottom
SW13,96.04375,-64.031896,0.0,top
SW2,42.8625,-130.96875,180.0,bottom
SW3,42.8625,-150.01875,180.0,bottom
SW4,61.9125,-111.91875,180.0,bottom
SW5,61.9125,-130.96875,180.0,bottom
SW6,61.9125,-150.01875,180.0,bottom
SW7,80.9625,-111.91875,180.0,bottom
SW8,80.9625,-130.96875,180.0,bottom
SW9,80.9625,-150.01875,180.0,bottom
U1,65.0875,-66.413146,0.0,top
U2,71.4375,-83.875646,-135.0,bottom
U3,58.5325,-95.986896,0.0,top
Y1,88.9,-96.8375,45.0,bottom
